num_members,error_average_node,error_selected_node,selection_bias,true_distance_selected
1,294.6798181419587,-51.189775442458455,-345.8695935844172,55.22
2,184.85541754268505,-44.17785632150212,-229.03327386418715,48.18
4,134.27938905300644,-39.22255149151296,-173.5019405445194,43.12
8,71.81849859409728,-31.709977362024148,-103.52847595612143,36.08
16,38.753189523047745,-26.982019775105318,-65.73520929815307,31.68
