method,task_id,success,std_over_seeds
baseline,1,0.8,
baseline,2,1.0,
baseline,3,0.8,
baseline,4,0.4,
baseline,5,1.0,
graph,1,1.0,
graph,2,1.0,
graph,3,0.6,
graph,4,0.6,
graph,5,0.6,
